Marine Scotland Site ID,Date Registered,Site Name,National Grid Reference,Local Authority,Producing in Last 3 Years,Site Address 1,Site Address 2,Site Address 3,Site Post Code,Site Contact Number,Aquaculture Type,Water Type,Health Surveillance,Easting,Northing,MS Management Area,Region,Operator,Species
FS1347,18-Nov-20,AGRF (Hatchery - RAS A),NT252642,Midlothian,No,The Roslin Institute,Easter Bush Campus,,EH25 9RG,,Fish,Freshwater,Low,325200,664200,,Lothian,The Roslin Institute,"Atlantic Salmon, N/A, Rainbow Trout"
FS1353,02-Jul-21,AGRF (RAS B),NT252642,Midlothian,No,The Roslin Institute,Easter Bush Campus,,EH25 9RG,,Fish,Freshwater,Low,325200,664200,Not in a management area,Lothian,The Roslin Institute,"N/A, Atlantic Salmon, Rainbow Trout"
FS0258,14-May-79,Abbey St Bathans Trout Farm,NT760620,Scottish Borders,Yes,Duns,Berwickshire,,TD11 3TX,,Fish,Freshwater,Low,376000,662000,Not in a management area,Borders,Abbey St Bathans Trout Farm,"Rainbow Trout, N/A"
SS0570,01-Aug-98,Acairseid Mhor,NM519550,Argyll and Bute,Yes,Calve Island,Sound of Mull,Argyll,PA75 6NU,,Shellfish,Seawater,Low,151900,755000,"15b - Linnhe, Firth of Lorne, Sound of Mull and Loch Sunart",Strathclyde,R.B. & S.L.  Barlow,"N/A, King scallop"
FS0189,24-Oct-91,Ae Fishery,NX996886,Dumfries and Galloway,Yes,Ae Fishery,Parkgate,,DG1 3LY,,Fish,Freshwater,Medium,299600,588600,Not in a management area,Dumfries & Galloway,Brow Well Fisheries Ltd,"Rainbow Trout, Brook charr/ trout, Brown Trout and sea trout, N/A, Tiger trout"
FS0594,17-Apr-89,Aird,NG789560,Highland,Yes,Aird,Sheildaig,,IV54 8XH,,Fish,Seawater,Medium,178900,856000,11a - Torridon,Highland,Bakkafrost Scotland,"Wrasse, Lumpsucker, Atlantic Salmon, N/A"
SS0809,16-Jul-09,Aird Chaol,NB132326,Western Isles,Yes,West Earshader,Bernera,,HS2 9LP,,Shellfish,Seawater,Medium,113200,932600,6a - Loch Roag,Western Isles,Loch Fyne Oysters Ltd,"Common mussel, N/A"
SS0844,08-Aug-12,Aird Earshader Relay Area,NB159340,Western Isles,No,N/A,,,,,Shellfish,Seawater,Low,115900,934000,,Western Isles,Loch Fyne Oysters Ltd,"Pacific Oyster, N/A"
SS0479,20-Dec-91,Airde Bige,NC207498,Highland,Yes,Loch Laxford,Sutherland,,-,,Shellfish,Seawater,Medium,220700,949800,9b - Laxford,Highland,Loch Laxford Shellfish Ltd.,"N/A, Common mussel"
SS0906,03-Apr-17,Aith Voe West,HU345568,Shetland,Yes,Vadlure,Walls,,ZE2 9PF,,Shellfish,Seawater,Medium,434500,1156800,4a - South St Magnus Bay,Shetland,Shetland Mussels Ltd,"Common mussel, N/A"
