"exporter","weight"
"AFG",0.18
"ALB",3.055
"AGO",0.013
"BEL",23365.453
"BRA",4.337
"BGR",166.085
"CAN",5.04
"CHL",4.437
"COL",1.42
"CZE",9.6
"FRA",4049.7832
"DEU",63.990864
"GRC",7.484766
"HUN",0.23171335
"IRL",770.626
"ITA",4790.968
"LBN",0.731
"LTU",4.319742
"MRT",9
"MAR",142295.6
"MOZ",0.202
"OMN",0.049964
"NPL",1.382
"NLD",146632.88
"NZL",10.08
"PER",4.8712387
"POL",11399.376
"PRT",719.40564
"ROU",31.252605
"SEN",68.66667
"IND",1.8
"SVK",44.46
"VNM",1.608805
"ZAF",8.65
"ESP",61821.484
"THA",0.769
"TUN",514.243
"TUR",1498.5654
"UKR",0.067262776
"MKD",164.339
"EGY",48.733532
"GBR",16.764
"TZA",0.125
"URY",5.39203
